segment event:,cevent_speech_naming_local-id,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,
,,,,,proportion_by_category,,mean_duration_by_category,,number_of_events_by_category,,proportion_by_category,,mean_duration_by_category,,number_of_events_by_category,
,,,,,,,,,,,,,,,,
subject ID,instance ID,onset,offset,category value,target,distractor,target,distractor,target,distractor,target,distractor,target,distractor,target,distractor
7006,11,83.011,85.925,1,0.96946,0,2.825,NaN,1,0,0.63384,0,0.9235,NaN,2,0
7006,12,93.448,94.113,1,0,0,NaN,NaN,0,0,0.8015,0,0.533,NaN,1,0
7006,13,105.1,106.25,1,0.24348,0,0.093333,NaN,3,0,0.50435,0,0.29,NaN,2,0
7006,14,107.25,107.67,1,0.33333,0,0.14,NaN,1,0,0.2381,0,0.1,NaN,1,0
7006,15,113.08,113.6,1,0,0,NaN,NaN,0,0,0.28846,0,0.15,NaN,1,0
7006,16,114.14,114.81,1,0.1194,0,0.08,NaN,1,0,0,0,NaN,NaN,0,0
7006,17,115.66,116.31,1,0.47692,0,0.31,NaN,1,0,0,0,NaN,NaN,0,0
7006,18,119.37,123.77,2,0,0,NaN,NaN,0,0,0.12045,0.031818,0.265,0.14,2,1
7006,19,126.99,130.68,2,0,0,NaN,NaN,0,0,0.03794,0,0.14,NaN,1,0
7006,20,138.63,139.56,1,0,0,NaN,NaN,0,0,0.13978,0,0.13,NaN,1,0
7006,21,140.5,141.41,2,0,0.043956,NaN,0.04,0,1,0.032967,0,0.03,NaN,1,0
7006,22,148.19,150.57,3,0,0,NaN,NaN,0,0,0.29832,0,0.355,NaN,2,0
7006,23,163.71,164.87,3,0,0,NaN,NaN,0,0,0,0,NaN,NaN,0,0
