segment event:,cevent_inhand_child,,,,cevent_eye_roi_child,,,,,,,,,,,
,,,,,proportion_by_category,,,,mean_duration_by_category,,,,number_of_events_by_category,,,
,,,,,,,,,,,,,,,,
subject ID,instance ID,onset,offset,category value,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4,cat-1,cat-2,cat-3,cat-4
7006,17,56.733,56.767,2,0,0,0,1,NaN,NaN,NaN,0.034,0,0,0,1
7006,18,58.167,58.233,2,0,1,0,0,NaN,0.066,NaN,NaN,0,1,0,0
7006,19,58.433,58.5,2,0,1,0,0,NaN,0.067,NaN,NaN,0,1,0,0
7006,20,58.433,58.5,2,0,1,0,0,NaN,0.067,NaN,NaN,0,1,0,0
7006,21,58.667,59.933,2,0.21011,0.13112,0.42101,0,0.266,0.166,0.533,NaN,1,1,1,0
7006,22,58.7,59.833,2,0.20565,0.14651,0.47043,0,0.233,0.166,0.533,NaN,1,1,1,0
7006,23,67.9,68.967,3,0,0,1,0,NaN,NaN,1.067,NaN,0,0,1,0
7006,24,67.933,75,3,0.03297,0,0.54719,0.03297,0.1165,NaN,0.96675,0.233,2,0,4,1
7006,25,69.5,69.567,3,0,0,1,0,NaN,NaN,0.067,NaN,0,0,1,0
7006,26,69.733,69.867,3,0,0,1,0,NaN,NaN,0.134,NaN,0,0,1,0
7006,27,70,70.133,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,28,70.333,70.433,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,29,70.6,70.7,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,30,71.033,71.067,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,31,75.267,75.333,3,1,0,0,0,0.066,NaN,NaN,NaN,1,0,0,0
7006,32,75.733,76.767,1,1,0,0,0,1.034,NaN,NaN,NaN,1,0,0,0
7006,33,76.1,76.233,1,1,0,0,0,0.133,NaN,NaN,NaN,1,0,0,0
7006,34,77.3,77.533,1,1,0,0,0,0.233,NaN,NaN,NaN,1,0,0,0
7006,35,77.367,80.433,1,1,0,0,0,3.066,NaN,NaN,NaN,1,0,0,0
7006,36,77.633,80.5,1,1,0,0,0,2.867,NaN,NaN,NaN,1,0,0,0
7006,37,81.267,81.533,1,0.24812,0,0.49624,0,0.066,NaN,0.066,NaN,1,0,2,0
7006,38,81.6,81.667,1,0,0,0.49254,0,NaN,NaN,0.033,NaN,0,0,1,0
7006,39,82.167,82.6,1,1,0,0,0,0.433,NaN,NaN,NaN,1,0,0,0
7006,40,85.033,85.3,1,1,0,0,0,0.267,NaN,NaN,NaN,1,0,0,0
7006,41,93.133,93.633,1,0.068,0,0,0.2,0.034,NaN,NaN,0.1,1,0,0,1
7006,42,93.4,93.567,1,0,0,0,0.20359,NaN,NaN,NaN,0.034,0,0,0,1
7006,43,93.7,94.133,3,0,0,0,1,NaN,NaN,NaN,0.433,0,0,0,1
7006,44,94,94.933,1,0,0,0,1,NaN,NaN,NaN,0.933,0,0,0,1
7006,45,94.3,94.867,1,0,0,0,1,NaN,NaN,NaN,0.567,0,0,0,1
7006,46,104.5,104.57,2,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,47,104.63,104.7,2,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,48,105.57,105.67,1,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,49,105.63,106.07,1,0.090909,0,0,0,0.04,NaN,NaN,NaN,1,0,0,0
7006,50,106.03,106.1,1,1,0,0,0,0.07,NaN,NaN,NaN,1,0,0,0
7006,51,106.23,106.4,1,1,0,0,0,0.17,NaN,NaN,NaN,1,0,0,0
7006,52,107.7,112.67,1,0.35614,0,0,0.61771,1.77,NaN,NaN,3.07,1,0,0,1
7006,53,107.77,112.77,1,0.34,0,0,0.634,1.7,NaN,NaN,3.17,1,0,0,1
7006,54,112.9,113.03,1,0,0,0,1,NaN,NaN,NaN,0.13,0,0,0,1
7006,55,112.93,113.33,1,0,0,0,1,NaN,NaN,NaN,0.4,0,0,0,1
7006,56,113.2,113.43,1,0,0,0,1,NaN,NaN,NaN,0.23,0,0,0,1
7006,57,113.5,113.67,1,0,0,0,1,NaN,NaN,NaN,0.17,0,0,0,1
7006,58,113.57,113.67,1,0,0,0,1,NaN,NaN,NaN,0.1,0,0,0,1
7006,59,113.93,114,1,0,0,0,1,NaN,NaN,NaN,0.07,0,0,0,1
7006,60,113.93,114.03,1,0,0,0,1,NaN,NaN,NaN,0.1,0,0,0,1
7006,61,137.8,138.43,1,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,62,138.5,138.97,1,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,63,138.7,138.73,1,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,64,141.2,143.97,1,0.39711,0,0,0.37184,0.55,NaN,NaN,1.03,2,0,0,1
7006,65,141.23,143.8,1,0.40078,0,0,0.40078,0.515,NaN,NaN,1.03,2,0,0,1
7006,66,147.73,148,1,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,67,155.03,156.37,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,68,161.07,161.2,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,69,162.63,162.7,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,70,162.9,162.93,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,71,163.07,163.1,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,72,164.5,164.63,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,73,165.33,165.4,3,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0
7006,74,167.5,167.63,2,0,1,0,0,NaN,0.13,NaN,NaN,0,1,0,0
7006,75,168.13,173.13,2,0,0.488,0,0.426,NaN,2.44,NaN,2.13,0,1,0,1
7006,76,168.2,171.6,2,0,0.69706,0,0.23529,NaN,2.37,NaN,0.8,0,1,0,1
7006,77,171.93,173.03,2,0,0,0,0.90909,NaN,NaN,NaN,1,0,0,0,1
